월,정류장,count
202304.0,계룡리슈빌,12
202304.0,벽산이삭아파트,12
202304.0,부천시청역3번출구.경기예고.현대백화점,12
202304.0,호반써밋송도,12
202304.0,동막역(1번출구),11
202304.0,장미아파트,11
202304.0,금호2차아파트,9
202304.0,신동아아파트3차,9
202304.0,신비마을아파트,9
202304.0,용일사거리,9
202304.0,용현초등학교입구,9
202304.0,합정역,9
202304.0,신포시장,8
202304.0,청능로사거리,8
202304.0,관교여자중학교,7
202304.0,기점(미정차),7
202304.0,시민의숲.양재꽃시장,7
202304.0,용정초등학교,7
202304.0,용현3동행정복지센터.보훈병원,7
202304.0,인천향교.인천도호부청사,7
202304.0,학산사거리,7
202304.0,법원.검찰청,6
202304.0,부평역,6
202304.0,신동아아파트5차,6
202304.0,신창아파트,6
202304.0,연학초등학교,6
202304.0,유원아파트,6
202304.0,인천미래생활고등학교,6
202304.0,인천소방본부,6
202304.0,주안3동행정복지센터,6
202304.0,태화두진아파트,6
202304.0,학익시장(법원검찰청),6
202304.0,교대역,5
202304.0,길병원,5
202304.0,남광로얄아파트,5
202304.0,남동구청,5
202304.0,남동초등학교,5
202304.0,도림주공1단지,5
202304.0,미송초등학교,5
202304.0,서창센트럴푸르지오,5
202304.0,석바위,5
202304.0,신동아아파트(B),5
202304.0,아주아파트.미추홀학교,5
202304.0,용현고가교,5
202304.0,용현고개,5
202304.0,윤성아파트(인항고교),5
202304.0,인천논현중학교,5
202304.0,인하대정문,5
202304.0,학산소극장,5
202304.0,학익고등학교,5
202304.0,학익사거리(동아풍림아파트),5
202304.0,SK스카이뷰104동,4
202304.0,구월아시아드6단지,4
202304.0,금호아파트,4
